Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
4500038/2021 MONITORES DE SINAIS VITAIS (PLANO CONTIGENCIA COVID 19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"CLINIFAR - PROD. CLINICOS E FARMACEUTICOS, S.A. (503281115)";"18.000,00 €";06-04-2021;09-03-2021;20 dias;"Portugal, Setúbal, Barreiro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;06-04-2021;"18.000,00 €";;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de Serviços de Manutenção da Aplicação Informática ""Madeira Safe"" com o Objetivo de Registo, Acompanhamento Clínico de Visitantes e Monitorização de Fluxos - Contingência COVID -19";Ajuste Direto Regime Geral;Aquisição de serviços;"72000000-5, Serviços de TI: consultoria, desenvolvimento de software, Internet e apoio";Secretaria Regional de Saúde e Proteção Civil (600086623);"SH SeeHealth,lda (516204327)";"202.059,38 €";06-04-2021;03-03-2021;180 dias;"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
040210542021 - COVID95_AQUISIÇÃO DE MATERIAL EPI_MASCARAS * MASCARAS RESPIRADORAS PARTICULAS N95 (BICO PATO P2);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";PTTEX - Industria Textil (514863471);"55.200,00 €";06-04-2021;26-03-2021;90 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
040210562021 - COVID95_AQUISIÇÃO DE MATERIAL EPI_MASCARAS * MASCARAS RESPIRADORAS DE PARTICULAS N95 (BICO PATO P2) * MASCARAS DE PROTEÇÃO PFR CLASSE P3 RESPIRADORAS PARTICULAS;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"Delk Pharma, Unipessoal, Lda (513499121)";"36.625,00 €";06-04-2021;26-03-2021;90 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"040210572021 - COVID95_AQUISIÇÃO DE MATERIAL EPI_MASCARAS * MASCARA RESPIRADOR PARTICULA N95 (BICO PATO P2); MASCARA CIRURG ALTA PROTECAO TIPO IIR C/VISEIRA E ATILHOS EN 14683; MASCARA CIRURG ALTA PROTECAO TIPO II / IIR C/ELASTICO EN 14683";Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";BASTOS & VIEGAS. S.A (500042772);"160.356,00 €";06-04-2021;29-03-2021;90 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AM 142/2021 - Aquisição Reagentes para Pesquisa SARS-COV2 para o LRSPA - COVID-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Administração Regional de Saúde do Algarve, I. P. (503148709)";Abbott Laboratórios Lda (500006148);"124.992,00 €";06-04-2021;25-03-2021;281 dias;"Portugal, Faro, Faro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AM 141/2021 - Aquisição de Testes de Amplificação SARS-COV2 para o LRSPA - COVID-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Administração Regional de Saúde do Algarve, I. P. (503148709)";Glsmed (513515119);"79.488,00 €";06-04-2021;25-03-2021;281 dias;"Portugal, Faro, Faro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
040210582021 - COVID95_AQUISIÇÃO DE MATERIAL EPI_MASCARAS * MASCARA RESPIRADOR PARTICULA N95 (BICO PATO P2);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar e Universitário de Coimbra, E.P. (510103448)";"BTL PORTUGAL UNIPESSOAL, LDA. (508192943)";"42.336,00 €";06-04-2021;29-03-2021;90 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de reagentes para investigação e testagem à população infetada por COVID-19, para os laboratórios da Faculdade de Farmácia da Universidade de Lisboa";Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";Faculdade de Farmácia da Universidade de Lisboa (502659807);"Lusopalex – Produtos de Saúde, Unipessoal, Lda (503531588)";"32.490,03 €";05-04-2021;18-03-2021;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc2Njkw;false;
Aquisição de 10 (dez) Acessórios Oscilação Alta Frequência 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"GRUPO VITALINO, SA (513083162)";"168,80 €";05-04-2021;24-03-2021;5 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 3 (três) Monitores TOF 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Clinifar - Produtos Clínicos e Farmacêuticos, S.A. (503281115)";"4.200,00 €";05-04-2021;25-02-2021;1 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 1 (uma) Central de Monitorização 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Clinifar - Produtos Clínicos e Farmacêuticos, S.A. (503281115)";"8.000,00 €";05-04-2021;25-02-2021;30 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Contratação de máscaras de protecção individual para efeitos de prevenção de COVID-19, reutilizáveis e certificadas no âmbito das avaliações de conformidade, publicitada pelo “CITEVE / Tecnologia Têxtil. Máscaras sociais/comunitárias laváveis no mínimo 25 vezes, nível 2 com filtração de partículas de 90% ou superior e destinadas à utilização por profissionais e alunos do Agrupamento de Escolas de Arganil.";Ajuste Direto Regime Geral;Aquisição de bens móveis;"18143000-3, Equipamento (vestuário) de protecção";Agrupamento de Escolas de Arganil (600084469);SYSATLAS PORTUGAL - DIGITAL OFFICE SYSTEMS LDA (513882898);"4.198,50 €";05-04-2021;26-03-2021;281 dias;"Portugal, Coimbra, Arganil";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços de rastreio para COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"85121200-5, Serviços de medicina especializada";Município da Amadora (505456010);Cruz Vermelha Portuguesa (500745749);"35.100,00 €";05-04-2021;31-03-2021;120 dias;"Portugal, Lisboa, Amadora";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 2 (dois) Módulos Transporte para Monitores Multiparâmetros 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Clinifar - Produtos Clínicos e Farmacêuticos, S.A. (503281115)";"7.000,00 €";05-04-2021;25-02-2021;30 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 3 (três) Registadores Holter 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"DMSoftware, Lda. (513633464)";"5.550,00 €";05-04-2021;25-02-2021;15 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"ÓCULOS NASAIS PARA OXIGENOTERAPIA PEDIÁTRICA PARA COVID, ao abrigo de CPA's da SPMS (CAPS)";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33100000-1, Equipamento médico";Administração Regional de Saúde do Alentejo (ARSA) (503148768);"ANASTACIO SALDANHA UNIPESSOAL, LDA. (505804441)";"21,70 €";05-04-2021;05-03-2021;120 dias;"Portugal, Évora";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;05-04-2021;"21,70 €";;;;2858426;CP 2017/212 - Acordo quadro para fornecimento de Dispositivos para Neonatologia e Pediatria às Instituições e Serviços do Serviço Nacional de Saúde;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1419706;false;
"TERMÓMETROS TESTA PARA COVID, ao abrigo de CPA's da SPMS (CAPS)";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33100000-1, Equipamento médico";Administração Regional de Saúde do Alentejo (ARSA) (503148768);DIMOR LUSITANA COMERCIO DE PRODUTOS DE SAUDE E HIGIENE LDA (500730741);"2.480,00 €";05-04-2021;05-03-2021;120 dias;"Portugal, Évora";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;05-04-2021;"2.480,00 €";;;;4171522;CP 2019/76 - Acordo Quadro para fornecimento de Equipamentos e Dispositivos Médicos de uso comum em internamento e ambulatório às Instituições e Serviços do Serviço Nacional de Saúde;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1419818;false;
Aquisição de 2 (dois) Aspiradores Torácicos 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Bacelar & Irmão, Lda. (500532818)";"5.600,00 €";05-04-2021;18-02-2021;1 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços de desinfeção de viaturas e instalações dos Serviços Municipalizados de Transportes Urbanos de Coimbra no âmbito do plano de contenção ao vírus Covid 19;Ajuste Direto Regime Geral;Aquisição de serviços;"90921000-9, Serviços de desinfecção e exterminação";Serviços Municipalizados de Transportes Urbanos de Coimbra (680015965);"Selected Challenge, Lda. (515939536)";"33.630,00 €";05-04-2021;31-03-2021;365 dias;"Portugal, Coimbra, Coimbra";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 2 (dois) Monitores Multiparâmetros 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Clinifar - Produtos Clínicos e Farmacêuticos, S.A. (503281115)";"5.000,00 €";05-04-2021;11-02-2021;1 dias;"Portugal, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
040210812021 - COVID95_AQUISIÇÃO DE MATERIAL EPI_MASCARAS *MASCARAS CIRURGICAS ALTA PROTECAO TIPO II / IIR C/ELASTICO EN 14683;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"ARMISEPI, S.A. (515972827)";"25.056,00 €";05-04-2021;29-03-2021;90 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 1 (um)  Monitor Desfibrilhador Básico e 3 (três) Monitores Desfibrilhadores Avançados 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Clinifar - Produtos Clínicos e Farmacêuticos, S.A. (503281115)";"41.400,00 €";05-04-2021;11-02-2021;1 dias;"Portugal, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 14 (catorze) monitores de sinais vitais 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Clinifar - Produtos Clínicos e Farmacêuticos, S.A. (503281115)";"15.400,00 €";05-04-2021;11-02-2021;1 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de material no âmbito da Contingência COVID 2019 – prevenção, contenção, mitigação e tratamento";Ajuste Direto Regime Geral;Aquisição de bens móveis;"19000000-6, Materiais têxteis, de couro, de plástico e de borracha";Agrupamento de Escolas de Vila Viçosa (600085805);SYSATLAS PORTUGAL - DIGITAL OFFICE SYSTEMS LDA (513882898);"3.732,00 €";05-04-2021;25-03-2021;275 dias;"Portugal, Évora, Vila Viçosa";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
EMPREITADA DE INSTALAÇÃO DE DOIS CENTROS DE VACINAÇÃO À COVID 19;Ajuste Direto Regime Geral;Empreitadas de obras públicas;"45200000-9, Obras de construção total ou parcial e de engenharia civil";Município de Cascais (505187531);BRITICASA - SOCIEDADE DE CONSTRUCÕES SA (502025700);"149.979,96 €";05-04-2021;30-03-2021;20 dias;"Portugal, Lisboa, Cascais";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc4NTQ3;false;
21100204 - Aquisição de reagentes p/ testes SARS - COV-2 (Covid19)  e GRIPE;Ajuste Direto Regime Geral;Aquisição de bens móveis;"24000000-4, Produtos químicos";"Administração Regional de Saúde do Centro, I. P. (503122165)";Abbott Laboratórios Lda (500006148);"202.356,00 €";05-04-2021;22-02-2021;300 dias;"Portugal, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 100 (cem) Cacifos Duplos - 3ª Vaga COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"39130000-2, Mobiliário de escritório";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Areaoffice – Mobiliário e Decoração, Lda. (504304720)";"8.400,00 €";05-04-2021;11-02-2021;5 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Ajuste Direto – Critérios Materiais nº 01 - SC/COVID/IPS/2021 - Aquisição de EPI's - Batas e Óculos para o Instituto Politécnico de Setúbal ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";Instituto Politécnico de Setúbal (503720364);Lopha - Logistica Farmaceutica (510241441);"59.320,00 €";05-04-2021;31-03-2021;30 dias;"Portugal, Setúbal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
" Fornecimento de equipamentos e produtos de proteção individual para o terceiro período letivo, destinados à promoção da proteção de grupo, no âmbito do contexto da pandemia mundial provocada pela COVID-19, para o 3º período letivo.";Ajuste Direto Regime Geral;Aquisição de bens móveis;"35121000-8, Equipamento de segurança e protecção";"Agrupamento de Escolas Daniel Faria, Paredes (600081427)";"PERFECTLIFE, S.A (513664610)";"8.730,48 €";05-04-2021;30-03-2021;13 dias;"Portugal, Porto, Paredes";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1457710;false;
" Aquisição de equipamentos e sinalética para Centros de Vacinação - Covid 19: Vila Verde, Fitares e Agualva - Plano de Contingência Municipal – COVID 19, com entrega e montagem incluída";Ajuste Direto Regime Geral;Aquisição de bens móveis;"39300000-5, Equipamento diverso";Município de Sintra (500051062);"Apametal - Aparelhagem Metálica, Lda. (500780234)";"21.328,50 €";05-04-2021;31-03-2021;20 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de batas impermeáveis e cobre botas impermeáveis, no âmbito do plano de contingência Covid-19.";Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Garcia de Orta, E. P. E. (506361470)";"Loja de Tintas -  Comércio de Tintas, LDA (501422366)";"231.290,00 €";05-04-2021;05-03-2021;180 dias;"Portugal, Setúbal, Almada";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de Licenças de Monitorização para SMIP – Contingência COVID-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33195000-3, Sistema de monitorização dos doentes";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"B BRAUN MEDICAL, LDA (501506543)";"36.000,00 €";05-04-2021;31-03-2021;30 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
2021000837 - AQUISIÇÃO DE SERVIÇO DE INSTALÇÃO DE GASES MEDICINAIS - SALA DE ESPELHOS - COVID19;Ajuste Direto Regime Geral;Aquisição de serviços;"71500000-3, Serviços relacionados com a construção";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"Air Liquide Medicinal, S.A. (501576436)";"13.920,00 €";01-04-2021;05-02-2021;2 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcwNTkz;false;
2021000859 - AQUISIÇÃO DE EQUIPAMENTOS PARA EQUIPAR A NOVA ALA - REFEITÓRIO - AMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"32224000-9, Aparelhos emissores de televisão";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"RI - ELECTRODOSMESTICOS, LDA (514125926)";"7.383,00 €";01-04-2021;04-02-2021;1 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcxODE5;false;
2021001205 - AQUISIÇÃO DE PELICULA OPACA CINZA PARA ISOLAR VIDROS - AMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"32354000-9, Películas";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"Simoffice - Equipamentos de Escritório, Lda (509942571)";"7.425,00 €";01-04-2021;09-02-2021;1 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcxODI3;false;
2021000855 - AQUISIÇÃO DE ESPUMA DE HIGIENE DE MÃOS - AMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33741300-9, Desinfectante para as mãos";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"Exposerve - Services, Lda. (509600514)";"6.186,00 €";01-04-2021;11-02-2021;3 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcyMTUz;false;
Prestação de Serviço – Monitorização das Medidas de Apoio COVID 19 e Analise Sócio Económica;Ajuste Direto Regime Geral;Aquisição de serviços;"85310000-5, Serviços de acção social";Município de Óbidos (506802698);Ana Sofia Ferreira Santos (261668889);"9.744,00 €";01-04-2021;31-03-2021;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc2NDI2;false;
2021001027 - AQUISIÇÃO DE GARRAFAS PARA HEMOCULTURA PARA O SERVIÇO DE PATOLOGIA CLINICA - AMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"Quilaban, S.A (500399670)";"6.902,00 €";31-03-2021;09-02-2021;5 dias;Portugal;"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcyMTU1;false;
2021001157 - AQUISIÇÃO DE PAINEL BIOFIRE FILMARRAYRP2+ - ÂMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696300-8, Reagentes químicos";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);BioMerieux Portugal (501524177);"7.650,00 €";31-03-2021;17-02-2021;5 dias;Portugal;"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcyMTU3;false;
2021001461- AQUISIÇÃO DE AR CONDICIONADOS VERTICAIS PARA ENFERMARIA DE APOIO À COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"39717200-3, Aparelhos de ar condicionado";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"ENGIFRIO, SOCIEDADE DE REFRIGERAÇÃO, LDA (504680340)";"40.800,00 €";31-03-2021;15-02-2021;2 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcyNjYz;false;
2021001452 - AQUISIÇÃO DE MATERIAL DE PROTEÇÃO PARA TUBOS DE PROTEÇÃO DE OXIGÉNIO - ÂMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"32581100-0, Cabos para transmissão de dados";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);VJR LDA (506654001);"10.615,20 €";31-03-2021;10-02-2021;2 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDcyNjY3;false;
2021001563 - SERVIÇO DE TRATAMENTO DE ROUPA E FARDAMENTO HOSPITALAR - APOIO COVID19;Ajuste Direto Regime Geral;Aquisição de serviços;"98310000-9, Serviços de lavagem e de limpeza a seco";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"Interlimpe - Facility services, SA (502611057)";"19.933,34 €";31-03-2021;17-02-2021;60 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDczMTY3;false;
2021001776 - AQUISIÇÃO DE TESTES SARS COV 2 PARA APOIO AO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);Cepheid Iberia S.L.U. - Sucursal em Portugal (980655684);"18.550,00 €";31-03-2021;18-02-2021;3 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc0NTg4;false;
2021001257 - AQUISIÇÃO DE TELEVISORES PARA ENFERMARIAS - APOIO AO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"32224000-9, Aparelhos emissores de televisão";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"RI - ELECTRODOSMESTICOS, LDA (514125926)";"5.892,00 €";31-03-2021;19-02-2021;2 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc0NTk1;false;
2021001779 - TRABALHOS DE ADAPTAÇÃO NOS EDIFÍCIOS NO ÂMBITO COVID19;Ajuste Direto Regime Geral;Aquisição de serviços;"71500000-3, Serviços relacionados com a construção";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);LOVIRIL CONSTRUÇÃO CIVIL UNIPESSOAL LDA (500924139);"16.500,00 €";31-03-2021;22-02-2021;5 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc0NjU5;false;
