Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";"Sociedade Vicra Desportiva, S.A. (500269335)";"8.864,94 €";27-01-2021;02-09-2020;540 dias;"Portugal, Lisboa, Lisboa";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";Rádio Renascença Lda. (500725373);"12.933,25 €";27-01-2021;02-09-2020;540 dias;"Portugal, Lisboa, Lisboa";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";"Público - Comunicação Social, S.A. (502265094)";"8.478,98 €";27-01-2021;04-09-2020;540 dias;"Portugal, Porto, Maia";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";"Grupo Media Capital, SGPS, S.A. (502816481)";"90.013,57 €";27-01-2021;10-09-2020;540 dias;"Portugal, Lisboa, Oeiras";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";Impresa Publishing S.A. (501984046);"94.025,77 €";27-01-2021;31-08-2020;540 dias;"Portugal, Lisboa, Oeiras";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";"Global Notícias, Media Group, S.A. (502535369)";"28.677,53 €";27-01-2021;08-08-2020;540 dias;"Portugal, Porto, Porto";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";"Cofina, SGPS, S.A. (502801034)";"45.538,39 €";27-01-2021;16-09-2020;540 dias;"Portugal, Lisboa, Lisboa";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de espaço/tempo para difusão de ações de publicidade institucional no âmbito da pandemia da doença COVID-19 ou inerentes à mesma (Resolução do Conselho de Ministros n.º 38-B/2020, de 19 de maio).";Ajuste Direto Regime Geral;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";"Gabinete de Planeamento, Políticas e Administração Geral (600082458)";"Avenida dos Aliados – Sociedade de Comunicação, S.A. (507496825)";"626,66 €";27-01-2021;09-08-2020;540 dias;"Portugal, Porto, Porto";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de Zaragatoas orofaríngea e nasofaríngea, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de bens móveis;"33698000-9, Produtos para fins clínicos";"Hospital Professor Doutor Fernando Fonseca, E. P. E. (503035416)";BIOPORTUGAL (502380543);"27.000,00 €";27-01-2021;27-01-2021;7 dias;"Portugal, Lisboa, Amadora";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
212G000700 - MASCARA ALTA FILTRACAO P2M S/VALV.EXP. - COVID-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";"FACTOR PLUS, SA (502810645)";"118.800,00 €";27-01-2021;27-01-2021;338 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Execução/Fornecimento de porta para adufa - UCIP Covid 19;Ajuste Direto Regime Geral;Aquisição de serviços;"50800000-3, Serviços de reparação e manutenção diversos";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";AVELINO SILVA - INDUSTRIA METALURGICA (503299405);"830,00 €";27-01-2021;06-11-2020;90 dias;"Portugal, Viseu, Viseu";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Serviços de operacionalização de sistemas de informação de utilização pelas instituições do SNS e da rede de CSP para registo e demais atos inerentes à vacina Covid - Lote 2 - Serviços de manutenção corretiva e evolutiva do SCLÍNICO CSP;Ajuste Direto Regime Geral;Aquisição de serviços;"72500000-0, Serviços relacionados com a informática";"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)";"AltranPortugal, S.A. (504272179)";"153.600,00 €";27-01-2021;20-01-2021;60 dias;"Portugal, Porto<BR/>Portugal, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1380059;false;
Serviços de operacionalização de sistemas de informação de utilização pelas instituições do SNS e da rede de CSP para registo e demais atos inerentes à vacina Covid - Lote 1 - Serviços de manutenção corretiva e evolutiva do SCLÍNICO Hospitalar;Ajuste Direto Regime Geral;Aquisição de serviços;"72500000-0, Serviços relacionados com a informática";"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)";"AltranPortugal, S.A. (504272179)";"153.600,00 €";27-01-2021;20-01-2021;60 dias;"Portugal, Porto<BR/>Portugal, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1380059;false;
Serviços de implementação e manutenção de infraestruturas no âmbito do processo de vacinação COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"72500000-0, Serviços relacionados com a informática";"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)";"PAHLDATA (PORTUGAL, S.A.) - COMÉRCIO DE EQUIPAMENTO DE INFORMÁTICA, SA (501823913)";"43.680,00 €";27-01-2021;18-01-2021;60 dias;"Portugal, Porto<BR/>Portugal, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1378881;false;
"Prestação de serviços de limpeza e higienização dos pavilhões desportivos municipais, no âmbito da COVID-19";Ajuste Direto Regime Geral;Aquisição de serviços;"90910000-9, Serviços de limpeza";Município de Silves (506818837);"Cleansolve - Limpeza e Conservação, Lda (514182008)";"16.670,42 €";27-01-2021;20-11-2020;365 dias;"Portugal, Faro, Silves";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Serviços de monitorização especializada de sistemas no âmbito do processo de vacinação COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"72500000-0, Serviços relacionados com a informática";"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)";"AltranPortugal, S.A. (504272179)";"24.192,00 €";27-01-2021;18-01-2021;60 dias;"Portugal, Lisboa<BR/>Portugal, Porto";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1378984;false;
98/862/2021 Instalação de gases Medicinais em Contentor - COVID 19;Ajuste Direto Regime Geral;Aquisição de serviços;"50800000-3, Serviços de reparação e manutenção diversos";"Centro Hospitalar Universitário do Algarve, E. P. E. (510745997)";"Air Liquide Medicinal, S.A. (501576436)";"8.288,80 €";27-01-2021;20-01-2021;15 dias;"Portugal, Faro, Portimão";"Artigo 24.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Empreitada de E.B. 2/3 de Abelheira - Implementação de medidas preventivas no contexto COVID-19 - Construção de 3 coberturas no espaço exterior.;Ajuste Direto Regime Geral;Empreitadas de obras públicas;"45223100-7, Montagem de estruturas metálicas";Município de Viana do Castelo (506037258);"Valente & Lopes, Lda. (503487481)";"19.950,00 €";27-01-2021;26-01-2021;60 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 19.º, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de máscaras necessárias para a proteção e combate à COVID-19;Consulta Prévia;Aquisição de bens móveis;"33700000-7, Produtos para cuidados pessoais";Município de Valpaços (506874320);"Adalchimia, Lda. Farmácia Paula  (513358714)";"190,00 €";27-01-2021;27-01-2021;3 dias;"Portugal, Vila Real, Valpaços";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
SMS para os utentes ULSAM ARS Norte Plano de Contingência COVID 19;Ajuste Direto Regime Geral;Aquisição de serviços;"72000000-5, Serviços de TI: consultoria, desenvolvimento de software, Internet e apoio";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Seamlink - Seamless Enterprise Link, Lda. (508284538)";"7.018,91 €";27-01-2021;07-01-2021;1 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
PULVERIZADORES PARA UCIP COVID;Ajuste Direto Regime Geral;Aquisição de bens móveis;"19500000-1, Materiais de plástico e de borracha";"Unidade Local de Saúde do Baixo Alentejo, E. P. E. (508754275)";Manutan Unipessoal Lda (504779079);"18,90 €";27-01-2021;25-01-2021;60 dias;"Portugal, Beja, Beja";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Empreitada para Reformulação do Piso 2 do Centro Congressos do Estoril para 7 Gabinetes médicos do ACES para Consultas Covid 19;Ajuste Direto Regime Geral;Empreitadas de obras públicas;"45330000-9, Instalação de canalizações";Município de Cascais (505187531);BRITICASA - SOCIEDADE DE CONSTRUCÕES SA (502025700);"72.140,83 €";27-01-2021;26-01-2021;30 dias;Portugal;"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDU2OTc5;false;
"Serviço Recolha Mecanizada Contentores Resíduos, turno 13h/20h - Ambito Covid 19";Ajuste Direto Regime Geral;Aquisição de serviços;"90511000-2, Serviços de recolha de resíduos";Serviços Intermunicipalizados de Águas e Resíduos dos Municípios de Loures e Odivelas (680009671);"Ecoambiente - Consultores de Engenharia, Gestão e Prestação de Serviços, S.A. (502877472)";"35.100,00 €";27-01-2021;26-01-2021;42 dias;"Portugal, Lisboa, Loures";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1385949;false;
Mascara/Respirador de Partículas P2 para Plano de Contingência Covid-19 para 3 meses;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Garcia de Orta, E. P. E. (506361470)";"BIOSONDA - COMERCIO MAT. HOSPITALAR, LDA (501463313)";"60.000,00 €";26-01-2021;21-01-2021;120 dias;"Portugal, Setúbal, Almada";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"AQUISIÇÃO DE SERVIÇOS DE DESINFEÇÃO URGENTES E PROGRAMADAS AO COVID-19, PARA TODAS AS INSTALAÇÕES DO GRUPO IP - 2021";Ajuste Direto Regime Geral;Aquisição de serviços;"90910000-9, Serviços de limpeza";"Infraestruturas de Portugal, S. A. (503933813)";"Anticimex Portugal, Lda (507583698)";"200.000,00 €";26-01-2021;25-01-2021;359 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.anogov.com/infraestruturasdeportugal-ip/faces/app/pap/listaDocs.jsp?papId=8739;false;
ALUGUER TENDAS POSTO DE COLHEITA COVID (1/2 Jan até Maio);Ajuste Direto Regime Geral;Aquisição de serviços;"70000000-1, Serviços imobiliários";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";"Multitendas - Comércio e Aluguer de Tendas, S.A. (506871541)";"18.600,00 €";26-01-2021;22-01-2021;136 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Ajuste Direto nº 7754920 - Empreitada de Execução, Fornecimento e Colocação de Mobiliário Fixo na Nova UCIP do NEH – Contingência Covid19";Ajuste Direto Regime Geral;Empreitadas de obras públicas;"45000000-7, Construção";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"Modus Complete, Lda (514110643)";"84.011,21 €";26-01-2021;23-11-2020;28 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
ALUGUER TENDAS DE TRIAGEM COVID-19 RET (1/2 Dez até Maio);Ajuste Direto Regime Geral;Aquisição de serviços;"70000000-1, Serviços imobiliários";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";"Multitendas - Comércio e Aluguer de Tendas, S.A. (506871541)";"7.420,00 €";26-01-2021;05-01-2021;151 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Acordo Quadro para Aquisição de Equipamentos de Proteção Individual e Diagnóstico e Monitorização de Covid-19 - CNCM-AQ/43/2020;Concurso público;Locação de bens móveis;"35121000-8, Equipamento de segurança e protecção";Municípia S.A. - Empresa de Cartografia e Sistemas de Informação (504475606);"SAFETY ÁGUEDA - MATERIAIS DE INCÊNDIO, S.A. (508607990)";"0,00 €";26-01-2021;19-01-2021;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;4966373;Acordo Quadro para Aquisição de Equipamentos de Proteção Individual e Diagnóstico e Monitorização de Covid-19 - CNCM-AQ/43/2020;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1306667;true;
AP 35 - Aquisição de Material para a Vacinação COVID;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33141310-6, Seringas";"Administração Regional de Saúde do Norte, I. P. (503135593)";"Divisioncare Health Services, Unipessoal, Lda. (510616593)";"106.057,00 €";26-01-2021;15-01-2021;180 dias;"Portugal, Vila Real, Vila Real<BR/>Portugal, Porto, Maia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
DM CLÍNICO - LUVA EXME TAM.M(COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";HR Protecção S.A (505766205);"19.995,00 €";26-01-2021;04-01-2021;90 dias;"Portugal, Viseu, Viseu";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
DM CLÍNICO - LUVA EXAME TAM.L(COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";Saturmable/Medicamark (513990178);"19.687,50 €";26-01-2021;05-01-2021;90 dias;"Portugal, Viseu, Viseu";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
DM CLÍNICO - DIVERSA LUVA EXAME(COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";HR Protecção S.A (505766205);"9.042,00 €";26-01-2021;04-01-2021;90 dias;"Portugal, Viseu, Viseu";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
DM CLÍNICO - LUVA EXAME TAM.M(COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";Saturmable/Medicamark (513990178);"9.000,00 €";26-01-2021;05-01-2021;90 dias;"Portugal, Viseu, Viseu";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"ADCM/23/20/DCP - Aluguer de estrados para tendas para colocar nas escolas do concelho, no âmbito do âmbito do desconfinamento COVID 19";Ajuste Direto Regime Geral;Aquisição de bens móveis;"39300000-5, Equipamento diverso";Município de Braga (506901173);"HELIO COELHO - ORGANIZAÇÃO DE EVENTOS UNIPESSOAL, LDA (515826901)";"112.750,00 €";26-01-2021;04-01-2021;240 dias;"Portugal, Braga, Braga";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de Reagentes de Deteção e Extração SARS-COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Cova da Beira, E. P. E. (506361659)";WERFEN PORTUGAL (501086110);"349.410,50 €";26-01-2021;25-01-2021;20 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
219G000174 - Locação contentor 10 módulos - COVID-19;Ajuste Direto Regime Geral;Locação de bens móveis;"44211100-3, Módulos pré-fabricados portáteis";"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";"Algeco - Construções Pré-Fabricadas, S.A. (502721871)";"14.607,00 €";26-01-2021;26-01-2021;90 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de serviços de seguros de vida para os elementos envolvidos no combate à pandemia de COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"66511000-5, Serviços de seguros de vida";"Serviço Regional de Proteção Civil, IP-RAM (509079911)";"Bónus - Mediação de Seguros, Lda (511144768)";"28.864,00 €";26-01-2021;26-01-2021;90 dias;"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
ROLOS DE FITA SINALIZADORA (COVID);Ajuste Direto Regime Geral;Aquisição de bens móveis;"44400000-4, Produtos fabricados diversos e artigos afins";"Unidade Local de Saúde do Baixo Alentejo, E. P. E. (508754275)";"ARMANDO F.S. ESPADA, LDA (500029016)";"19,02 €";26-01-2021;21-01-2021;30 dias;"Portugal, Beja, Beja";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
95 Covid - Aluguer de estruturas pré-fabricadas;Ajuste Direto Regime Geral;Aquisição de serviços;"55000000-0, Serviços de hotelaria, restauração e comércio a retalho";"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"MBW - Modular Builders Worldwide, Lda (515337161)";"37.860,00 €";26-01-2021;25-01-2021;181 dias;"Portugal, Coimbra, Coimbra";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
MASCARA RESPIRADOR PARTICULAS TIPO FFP2 COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";HR Protecção S.A (505766205);"12.800,00 €";26-01-2021;04-11-2020;90 dias;"Portugal, Viseu, Viseu";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AQUISIÇÃO DE PLANO INCLINADO P MFR  E UCIP COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";Medical Plus- Produtos Médicos e Hospitalares (506658066);"1.965,00 €";25-01-2021;12-01-2021;60 dias;"Portugal, Viseu, Viseu";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
MATERIAL ELETRICO PARA PAVILHÃO FONTELO NO AMBITO DO COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"31000000-6, Maquinaria, aparelhagem, equipamento e consumíveis eléctricos; iluminação";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";"Albuquerque & Freitas, S.A. (500014078)";"115,22 €";25-01-2021;15-01-2021;60 dias;"Portugal, Viseu, Viseu";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AQUISIÇÃO DE BRACADEIRAS DE TA NO AMBITO DO COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";"Nosbet Equipamentos, Lda (513514872)";"2.110,00 €";25-01-2021;14-01-2021;60 dias;"Portugal, Viseu, Viseu";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
RESSUSCITADOR COMPLETO AMB COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";IBERDATA (501904921);"1.975,20 €";25-01-2021;20-01-2021;60 dias;"Portugal, Viseu, Viseu";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
EXECUÇÃO DE VIDRO P NOVA PAREDE SERVIÇO IMAGIOLOGIA COVID 19;Ajuste Direto Regime Geral;Aquisição de serviços;"50000000-5, Serviços de reparação e manutenção";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";VidroConfort (508410002);"400,75 €";25-01-2021;18-01-2021;60 dias;"Portugal, Viseu, Viseu";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
EXECUÇÃO DE VIDRO P SECRETARIADO DEP-COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"30000000-9, Máquinas, equipamento e material de escritório e de informática, excepto mobiliário e pacotes de programas (software)";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";VidroConfort (508410002);"124,33 €";25-01-2021;18-01-2021;60 dias;"Portugal, Viseu, Viseu";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
04/04416.04/2020  Reforço de Roupa de Cama (COVID);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"Mundifato - Ribeiro & Carlos, Lda (502383542)";"13.785,00 €";25-01-2021;30-12-2020;30 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
11/03727.29/2020- Aquisição de Equipamento de Proteção Individual Reutilizável(COVID);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";DAYLIFE S.A (513057641);"19.980,00 €";25-01-2021;03-11-2020;30 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
